livestockId,farmId,animalType,breed,age,quantity,healthStatus
LV-3032,FARM-2009,Breeder,Cobb 500,34 months,266,Healthy
LV-3033,FARM-2099,Pig,Pietrain,23 months,377,Sick
LV-3034,FARM-2082,Broiler,Lohmann Brown,7 months,79,Healthy
LV-3035,FARM-2022,Breeder,Hy-Line Brown,5 months,95,Sick
LV-3036,FARM-2080,Layer,Vanraja,29 months,353,At Risk
LV-3037,FARM-2072,Breeder,Aseel,21 months,82,Healthy
LV-3038,FARM-2060,Layer,Giriraja,18 months,307,Healthy
LV-3039,FARM-2064,Pig,Duroc,20 months,241,Healthy
LV-3040,FARM-2007,Layer,Giriraja,5 months,335,At Risk
LV-3041,FARM-2011,Pig,Tamworth,30 months,302,Healthy
LV-3042,FARM-2094,Broiler,Vanraja,13 months,169,Healthy
LV-3043,FARM-2064,Pig,Landrace,4 months,235,Healthy
LV-3044,FARM-2043,Breeder,Cobb 500,33 months,335,Healthy
LV-3045,FARM-2031,Pig,Chester White,29 months,273,Healthy
LV-3046,FARM-2020,Layer,Aseel,19 months,203,Healthy
LV-3047,FARM-2043,Breeder,Ross 308,22 months,38,Healthy
LV-3048,FARM-2071,Breeder,Kadaknath,19 months,134,Healthy
LV-3049,FARM-2084,Pig,Landrace,22 months,46,Healthy
LV-3050,FARM-2018,Layer,Giriraja,26 months,71,Healthy
LV-3051,FARM-2010,Pig,Berkshire,36 months,197,Healthy
LV-3052,FARM-2042,Broiler,Cobb 500,28 months,265,Healthy
LV-3053,FARM-2046,Layer,Hy-Line Brown,14 months,179,Sick
LV-3054,FARM-2062,Broiler,Lohmann Brown,9 months,84,Healthy
LV-3055,FARM-2012,Breeder,Ross 308,22 months,453,At Risk
LV-3056,FARM-2016,Breeder,Kadaknath,10 months,88,Healthy
LV-3057,FARM-2088,Pig,Landrace,29 months,27,Healthy
LV-3058,FARM-2086,Breeder,Lohmann Brown,29 months,317,Healthy
LV-3059,FARM-2095,Pig,Chester White,15 months,278,Healthy
LV-3060,FARM-2060,Broiler,Aseel,29 months,241,At Risk
LV-3061,FARM-2099,Pig,Tamworth,33 months,275,Healthy
LV-3062,FARM-2020,Broiler,Hy-Line Brown,17 months,31,Healthy
LV-3063,FARM-2047,Breeder,Cobb 500,34 months,440,Healthy
LV-3064,FARM-2010,Pig,Landrace,18 months,235,At Risk
LV-3065,FARM-2018,Layer,Cobb 500,15 months,423,Healthy
LV-3066,FARM-2044,Broiler,Kadaknath,4 months,207,Healthy
LV-3067,FARM-2030,Pig,Tamworth,6 months,196,Healthy
LV-3068,FARM-2040,Pig,Duroc,22 months,410,Healthy
LV-3069,FARM-2004,Layer,Vanraja,9 months,393,Healthy
LV-3070,FARM-2057,Pig,Large White,6 months,14,Healthy
LV-3071,FARM-2019,Pig,Tamworth,8 months,402,Healthy
LV-3072,FARM-2038,Broiler,Ross 308,16 months,219,Healthy
LV-3073,FARM-2079,Layer,Cobb 500,8 months,433,At Risk
LV-3074,FARM-2076,Breeder,Ross 308,33 months,299,Healthy
LV-3075,FARM-2018,Layer,Kadaknath,1 months,319,Healthy
LV-3076,FARM-2073,Pig,Tamworth,12 months,345,Healthy
LV-3077,FARM-2067,Layer,Cobb 500,34 months,283,Healthy
LV-3078,FARM-2064,Pig,Large White,25 months,452,Healthy
LV-3079,FARM-2081,Pig,Tamworth,24 months,134,Healthy
LV-3080,FARM-2045,Pig,Duroc,23 months,128,Healthy
LV-3081,FARM-2080,Broiler,Aseel,9 months,27,Healthy
LV-3082,FARM-2043,Breeder,Hy-Line Brown,30 months,361,Healthy
LV-3083,FARM-2023,Pig,Landrace,5 months,371,At Risk
LV-3084,FARM-2058,Pig,Large White,19 months,108,Healthy
LV-3085,FARM-2025,Broiler,Aseel,20 months,268,Healthy
LV-3086,FARM-2069,Pig,Chester White,17 months,23,At Risk
LV-3087,FARM-2024,Layer,Aseel,4 months,448,Healthy
LV-3088,FARM-2034,Pig,Duroc,24 months,228,At Risk
LV-3089,FARM-2095,Pig,Chester White,25 months,178,Sick
LV-3090,FARM-2063,Breeder,Vanraja,24 months,478,At Risk
LV-3091,FARM-2034,Pig,Duroc,28 months,45,Healthy
LV-3092,FARM-2023,Pig,Berkshire,21 months,57,Healthy
LV-3093,FARM-2084,Pig,Berkshire,20 months,233,Healthy
LV-3094,FARM-2054,Pig,Landrace,29 months,184,Healthy
LV-3095,FARM-2093,Pig,Pietrain,28 months,145,Healthy
LV-3096,FARM-2007,Broiler,Kadaknath,24 months,267,At Risk
LV-3097,FARM-2086,Broiler,Ross 308,10 months,439,Healthy
LV-3098,FARM-2056,Broiler,Hy-Line Brown,5 months,125,At Risk
LV-3099,FARM-2046,Layer,Kadaknath,3 months,314,Healthy
LV-3100,FARM-2057,Pig,Pietrain,24 months,232,At Risk
LV-3101,FARM-2073,Pig,Landrace,34 months,192,Healthy
LV-3102,FARM-2083,Pig,Berkshire,16 months,496,Healthy
LV-3103,FARM-2094,Broiler,Vanraja,34 months,203,At Risk
LV-3104,FARM-2015,Layer,Giriraja,29 months,114,Sick
LV-3105,FARM-2036,Pig,Chester White,13 months,67,Healthy
LV-3106,FARM-2009,Layer,Hy-Line Brown,29 months,49,At Risk
LV-3107,FARM-2040,Pig,Pietrain,5 months,286,Healthy
LV-3108,FARM-2038,Broiler,Hy-Line Brown,24 months,265,Healthy
LV-3109,FARM-2025,Broiler,Lohmann Brown,32 months,18,Healthy
LV-3110,FARM-2073,Pig,Pietrain,30 months,416,Sick
LV-3111,FARM-2016,Breeder,Cobb 500,5 months,163,Healthy
LV-3112,FARM-2091,Breeder,Vanraja,34 months,215,At Risk
LV-3113,FARM-2073,Pig,Duroc,9 months,167,Healthy
LV-3114,FARM-2057,Pig,Chester White,34 months,181,Healthy
LV-3115,FARM-2099,Pig,Landrace,9 months,226,Healthy
LV-3116,FARM-2007,Broiler,Hy-Line Brown,20 months,89,Healthy
LV-3117,FARM-2090,Broiler,Aseel,34 months,463,Healthy
LV-3118,FARM-2010,Pig,Berkshire,13 months,330,Sick
LV-3119,FARM-2035,Broiler,Giriraja,35 months,52,Healthy
LV-3120,FARM-2021,Breeder,Hy-Line Brown,11 months,342,Healthy
LV-3121,FARM-2077,Layer,Ross 308,2 months,46,Healthy
LV-3122,FARM-2082,Breeder,Giriraja,14 months,397,Healthy
LV-3123,FARM-2079,Breeder,Ross 308,32 months,460,Healthy
LV-3124,FARM-2037,Pig,Berkshire,31 months,130,At Risk
LV-3125,FARM-2087,Pig,Tamworth,20 months,237,Healthy
LV-3126,FARM-2007,Broiler,Vanraja,27 months,252,Healthy
LV-3127,FARM-2043,Breeder,Hy-Line Brown,21 months,446,Healthy
LV-3128,FARM-2093,Pig,Pietrain,26 months,71,At Risk
LV-3129,FARM-2065,Breeder,Cobb 500,21 months,128,Healthy
LV-3130,FARM-2034,Pig,Chester White,16 months,77,Healthy
LV-3131,FARM-2037,Pig,Tamworth,27 months,132,Sick
LV-3132,FARM-2020,Layer,Aseel,13 months,395,Healthy
LV-3133,FARM-2065,Layer,Vanraja,20 months,259,Healthy
LV-3134,FARM-2050,Breeder,Vanraja,16 months,115,Healthy
LV-3135,FARM-2006,Pig,Large White,19 months,258,Healthy
LV-3136,FARM-2083,Pig,Chester White,19 months,279,Healthy
LV-3137,FARM-2013,Layer,Hy-Line Brown,17 months,377,Healthy
LV-3138,FARM-2051,Layer,Ross 308,26 months,31,Healthy
LV-3139,FARM-2024,Layer,Giriraja,5 months,202,Healthy
LV-3140,FARM-2097,Breeder,Giriraja,8 months,70,Sick
LV-3141,FARM-2050,Layer,Aseel,36 months,485,Healthy
LV-3142,FARM-2018,Broiler,Kadaknath,33 months,25,Healthy
LV-3143,FARM-2017,Pig,Pietrain,31 months,270,Healthy
LV-3144,FARM-2077,Breeder,Hy-Line Brown,21 months,481,Healthy
LV-3145,FARM-2020,Layer,Giriraja,22 months,264,At Risk
LV-3146,FARM-2068,Layer,Giriraja,31 months,422,Healthy
LV-3147,FARM-2042,Breeder,Cobb 500,27 months,303,Healthy
LV-3148,FARM-2092,Breeder,Ross 308,31 months,140,Sick
LV-3149,FARM-2099,Pig,Hampshire,4 months,303,Healthy
LV-3150,FARM-2067,Breeder,Kadaknath,10 months,425,Healthy
LV-3151,FARM-2004,Breeder,Cobb 500,13 months,14,Healthy
LV-3152,FARM-2053,Broiler,Kadaknath,14 months,215,Healthy
LV-3153,FARM-2078,Layer,Ross 308,9 months,270,Healthy
LV-3154,FARM-2041,Pig,Chester White,34 months,197,Healthy
LV-3155,FARM-2022,Layer,Aseel,35 months,186,Healthy
LV-3156,FARM-2092,Breeder,Giriraja,31 months,103,Sick
LV-3157,FARM-2035,Breeder,Giriraja,15 months,487,Sick
LV-3158,FARM-2038,Layer,Lohmann Brown,32 months,167,Healthy
LV-3159,FARM-2071,Breeder,Giriraja,19 months,67,Healthy
LV-3160,FARM-2069,Pig,Tamworth,26 months,424,Healthy
LV-3161,FARM-2098,Broiler,Giriraja,3 months,152,Sick
LV-3162,FARM-2010,Pig,Pietrain,29 months,340,Healthy
LV-3163,FARM-2061,Broiler,Lohmann Brown,35 months,143,Sick
LV-3164,FARM-2089,Pig,Berkshire,9 months,60,Healthy
LV-3165,FARM-2075,Pig,Hampshire,16 months,30,Healthy
LV-3166,FARM-2067,Broiler,Lohmann Brown,4 months,56,Healthy
LV-3167,FARM-2091,Layer,Cobb 500,9 months,7,Sick
LV-3168,FARM-2020,Layer,Vanraja,31 months,338,Healthy
LV-3169,FARM-2036,Pig,Pietrain,19 months,335,Healthy
LV-3170,FARM-2098,Broiler,Lohmann Brown,35 months,383,Healthy
LV-3171,FARM-2004,Broiler,Kadaknath,12 months,483,At Risk
LV-3172,FARM-2050,Layer,Hy-Line Brown,19 months,453,Healthy
LV-3173,FARM-2038,Breeder,Cobb 500,22 months,150,Healthy
LV-3174,FARM-2082,Breeder,Vanraja,9 months,440,Healthy
LV-3175,FARM-2034,Pig,Hampshire,8 months,174,Healthy
LV-3176,FARM-2058,Pig,Berkshire,12 months,12,Healthy
LV-3177,FARM-2037,Pig,Hampshire,12 months,317,At Risk
LV-3178,FARM-2051,Layer,Aseel,6 months,210,Healthy
LV-3179,FARM-2023,Pig,Landrace,31 months,170,Sick
LV-3180,FARM-2000,Pig,Berkshire,25 months,125,Healthy
LV-3181,FARM-2034,Pig,Pietrain,20 months,303,Healthy
LV-3182,FARM-2001,Layer,Aseel,16 months,36,Healthy
LV-3183,FARM-2059,Layer,Hy-Line Brown,26 months,356,Healthy
LV-3184,FARM-2090,Layer,Cobb 500,19 months,193,Healthy
LV-3185,FARM-2028,Broiler,Vanraja,10 months,237,Healthy
LV-3186,FARM-2077,Layer,Kadaknath,36 months,472,Healthy
LV-3187,FARM-2068,Breeder,Lohmann Brown,16 months,353,At Risk
LV-3188,FARM-2010,Pig,Chester White,34 months,365,Healthy
LV-3189,FARM-2072,Broiler,Ross 308,36 months,467,Healthy
LV-3190,FARM-2073,Pig,Landrace,11 months,172,At Risk
LV-3191,FARM-2056,Broiler,Lohmann Brown,32 months,51,At Risk
LV-3192,FARM-2057,Pig,Large White,30 months,72,Healthy
LV-3193,FARM-2058,Pig,Large White,36 months,241,Healthy
LV-3194,FARM-2039,Pig,Large White,26 months,135,At Risk
LV-3195,FARM-2095,Pig,Hampshire,5 months,28,Healthy
LV-3196,FARM-2089,Pig,Duroc,35 months,35,Sick
LV-3197,FARM-2008,Pig,Chester White,3 months,151,Healthy
LV-3198,FARM-2098,Broiler,Kadaknath,24 months,461,Healthy
LV-3199,FARM-2048,Pig,Tamworth,6 months,354,Sick
LV-3200,FARM-2069,Pig,Landrace,23 months,65,Healthy
LV-3201,FARM-2068,Layer,Hy-Line Brown,15 months,432,Healthy
LV-3202,FARM-2002,Layer,Vanraja,35 months,222,Healthy
LV-3203,FARM-2029,Broiler,Vanraja,23 months,84,Healthy
LV-3204,FARM-2092,Broiler,Ross 308,27 months,319,At Risk
LV-3205,FARM-2002,Broiler,Lohmann Brown,5 months,56,Healthy
LV-3206,FARM-2057,Pig,Large White,16 months,384,Healthy
LV-3207,FARM-2056,Broiler,Lohmann Brown,4 months,76,Healthy
LV-3208,FARM-2037,Pig,Hampshire,21 months,300,Healthy
LV-3209,FARM-2086,Layer,Lohmann Brown,20 months,453,Healthy
LV-3210,FARM-2084,Pig,Hampshire,27 months,158,Healthy
LV-3211,FARM-2071,Breeder,Hy-Line Brown,28 months,289,Healthy
LV-3212,FARM-2044,Breeder,Kadaknath,34 months,168,Healthy
LV-3213,FARM-2052,Broiler,Giriraja,25 months,99,At Risk
LV-3214,FARM-2060,Broiler,Lohmann Brown,20 months,444,Healthy
LV-3215,FARM-2059,Broiler,Kadaknath,27 months,290,Healthy
LV-3216,FARM-2049,Broiler,Giriraja,14 months,174,Healthy
LV-3217,FARM-2057,Pig,Pietrain,6 months,279,Healthy
LV-3218,FARM-2024,Broiler,Giriraja,25 months,349,Healthy
LV-3219,FARM-2005,Pig,Duroc,13 months,416,At Risk
LV-3220,FARM-2092,Breeder,Lohmann Brown,31 months,111,At Risk
LV-3221,FARM-2042,Layer,Ross 308,14 months,484,Healthy
LV-3222,FARM-2094,Broiler,Vanraja,16 months,361,Healthy
LV-3223,FARM-2026,Pig,Tamworth,16 months,287,Healthy
LV-3224,FARM-2036,Pig,Tamworth,30 months,278,Healthy
LV-3225,FARM-2039,Pig,Berkshire,24 months,267,At Risk
LV-3226,FARM-2059,Broiler,Vanraja,21 months,473,Healthy
LV-3227,FARM-2040,Pig,Tamworth,3 months,293,At Risk
LV-3228,FARM-2094,Broiler,Ross 308,17 months,288,Sick
LV-3229,FARM-2074,Pig,Tamworth,19 months,83,Healthy
LV-3230,FARM-2029,Layer,Lohmann Brown,32 months,286,Healthy
LV-3231,FARM-2087,Pig,Pietrain,17 months,395,At Risk
LV-3232,FARM-2092,Breeder,Vanraja,30 months,91,Healthy
LV-3233,FARM-2045,Pig,Landrace,9 months,373,Healthy
LV-3234,FARM-2023,Pig,Large White,34 months,22,At Risk
LV-3235,FARM-2009,Breeder,Ross 308,1 months,216,Healthy
LV-3236,FARM-2080,Broiler,Cobb 500,10 months,9,Healthy
LV-3237,FARM-2058,Pig,Pietrain,4 months,321,Healthy
LV-3238,FARM-2078,Layer,Vanraja,2 months,8,Healthy
LV-3239,FARM-2052,Broiler,Ross 308,34 months,374,Healthy
LV-3240,FARM-2036,Pig,Large White,33 months,421,Healthy
LV-3241,FARM-2055,Pig,Landrace,7 months,475,Healthy
LV-3242,FARM-2019,Pig,Hampshire,13 months,322,Healthy
LV-3243,FARM-2045,Pig,Berkshire,26 months,45,Healthy
LV-3244,FARM-2051,Layer,Lohmann Brown,15 months,158,Healthy
LV-3245,FARM-2010,Pig,Large White,6 months,212,Healthy
LV-3246,FARM-2070,Pig,Chester White,4 months,331,Healthy
LV-3247,FARM-2021,Broiler,Vanraja,28 months,335,At Risk
LV-3248,FARM-2072,Broiler,Ross 308,15 months,113,At Risk
LV-3249,FARM-2088,Pig,Chester White,18 months,28,At Risk
LV-3250,FARM-2087,Pig,Berkshire,35 months,293,Healthy
LV-3251,FARM-2022,Layer,Ross 308,14 months,305,Healthy
LV-3252,FARM-2091,Layer,Cobb 500,20 months,88,Healthy
LV-3253,FARM-2072,Layer,Aseel,25 months,391,Healthy
LV-3254,FARM-2088,Pig,Duroc,33 months,386,Sick
LV-3255,FARM-2006,Pig,Duroc,28 months,123,At Risk
LV-3256,FARM-2043,Breeder,Kadaknath,21 months,20,Healthy
LV-3257,FARM-2057,Pig,Chester White,15 months,187,Healthy
LV-3258,FARM-2048,Pig,Tamworth,12 months,353,Healthy
LV-3259,FARM-2048,Pig,Duroc,19 months,413,Healthy
LV-3260,FARM-2009,Broiler,Giriraja,10 months,199,Healthy
LV-3261,FARM-2081,Pig,Landrace,25 months,167,Healthy
LV-3262,FARM-2011,Pig,Large White,20 months,232,Healthy
LV-3263,FARM-2034,Pig,Duroc,9 months,49,Healthy
LV-3264,FARM-2057,Pig,Tamworth,7 months,18,Healthy
LV-3265,FARM-2070,Pig,Duroc,21 months,447,Healthy
LV-3266,FARM-2037,Pig,Tamworth,25 months,403,Healthy
LV-3267,FARM-2071,Broiler,Hy-Line Brown,25 months,91,Healthy
LV-3268,FARM-2038,Layer,Vanraja,10 months,37,Healthy
LV-3269,FARM-2035,Layer,Giriraja,31 months,405,Healthy
LV-3270,FARM-2032,Pig,Hampshire,32 months,309,Healthy
LV-3271,FARM-2058,Pig,Duroc,9 months,160,Healthy
LV-3272,FARM-2050,Layer,Kadaknath,22 months,230,Healthy
LV-3273,FARM-2083,Pig,Landrace,20 months,169,Healthy
LV-3274,FARM-2088,Pig,Hampshire,31 months,165,Healthy
LV-3275,FARM-2050,Layer,Giriraja,32 months,500,Healthy
LV-3276,FARM-2031,Pig,Pietrain,25 months,148,At Risk
LV-3277,FARM-2050,Layer,Cobb 500,13 months,308,Sick
LV-3278,FARM-2023,Pig,Large White,30 months,487,Healthy
LV-3279,FARM-2056,Layer,Cobb 500,27 months,349,Healthy
LV-3280,FARM-2081,Pig,Berkshire,16 months,134,Healthy
LV-3281,FARM-2091,Layer,Kadaknath,5 months,234,Sick
LV-3282,FARM-2061,Breeder,Kadaknath,35 months,264,At Risk
LV-3283,FARM-2088,Pig,Tamworth,35 months,23,At Risk
LV-3284,FARM-2046,Breeder,Cobb 500,7 months,398,Healthy
LV-3285,FARM-2085,Pig,Pietrain,11 months,336,Healthy
LV-3286,FARM-2072,Breeder,Kadaknath,22 months,499,At Risk
LV-3287,FARM-2013,Broiler,Cobb 500,17 months,118,Healthy
LV-3288,FARM-2066,Pig,Hampshire,29 months,196,Healthy
LV-3289,FARM-2098,Breeder,Hy-Line Brown,23 months,17,Healthy
LV-3290,FARM-2037,Pig,Tamworth,6 months,64,At Risk
LV-3291,FARM-2093,Pig,Landrace,23 months,164,Healthy
LV-3292,FARM-2026,Pig,Chester White,23 months,248,Healthy
LV-3293,FARM-2092,Breeder,Vanraja,21 months,39,Healthy
LV-3294,FARM-2090,Broiler,Ross 308,22 months,336,Healthy
LV-3295,FARM-2021,Breeder,Lohmann Brown,34 months,94,Healthy
LV-3296,FARM-2042,Breeder,Kadaknath,30 months,123,At Risk
LV-3297,FARM-2080,Broiler,Hy-Line Brown,28 months,207,Healthy
LV-3298,FARM-2078,Broiler,Vanraja,28 months,204,Healthy
LV-3299,FARM-2027,Broiler,Giriraja,5 months,300,Healthy
LV-3300,FARM-2068,Broiler,Aseel,21 months,105,Healthy
LV-3301,FARM-2033,Pig,Chester White,34 months,499,Healthy
LV-3302,FARM-2076,Layer,Kadaknath,8 months,183,Healthy
LV-3303,FARM-2058,Pig,Landrace,20 months,475,Healthy
LV-3304,FARM-2010,Pig,Landrace,21 months,65,Healthy
LV-3305,FARM-2014,Broiler,Aseel,10 months,266,Healthy
LV-3306,FARM-2076,Broiler,Kadaknath,28 months,100,Healthy
LV-3307,FARM-2068,Breeder,Hy-Line Brown,36 months,90,Healthy
LV-3308,FARM-2017,Pig,Landrace,21 months,436,Healthy
LV-3309,FARM-2006,Pig,Pietrain,1 months,253,Healthy
LV-3310,FARM-2049,Breeder,Vanraja,27 months,355,Healthy
LV-3311,FARM-2090,Layer,Vanraja,11 months,47,Healthy
LV-3312,FARM-2097,Broiler,Giriraja,3 months,145,Healthy
LV-3313,FARM-2036,Pig,Landrace,30 months,294,Healthy
LV-3314,FARM-2098,Layer,Cobb 500,8 months,142,At Risk
LV-3315,FARM-2046,Breeder,Ross 308,29 months,284,Healthy
LV-3316,FARM-2054,Pig,Duroc,16 months,157,At Risk
LV-3317,FARM-2004,Layer,Giriraja,23 months,446,At Risk
LV-3318,FARM-2056,Broiler,Lohmann Brown,14 months,420,Healthy
LV-3319,FARM-2088,Pig,Pietrain,28 months,89,Healthy
LV-3320,FARM-2026,Pig,Hampshire,4 months,296,Healthy
LV-3321,FARM-2035,Breeder,Hy-Line Brown,21 months,365,Healthy
LV-3322,FARM-2073,Pig,Berkshire,33 months,465,Healthy
LV-3323,FARM-2012,Broiler,Kadaknath,4 months,146,At Risk
LV-3324,FARM-2016,Breeder,Hy-Line Brown,16 months,79,Healthy
LV-3325,FARM-2031,Pig,Tamworth,32 months,77,Healthy
LV-3326,FARM-2034,Pig,Tamworth,25 months,236,Healthy
LV-3327,FARM-2098,Broiler,Kadaknath,33 months,388,Healthy
LV-3328,FARM-2047,Layer,Vanraja,21 months,302,Healthy
LV-3329,FARM-2099,Pig,Duroc,30 months,330,Healthy
LV-3330,FARM-2045,Pig,Duroc,35 months,208,Healthy
LV-3331,FARM-2054,Pig,Hampshire,32 months,142,Healthy
LV-3332,FARM-2036,Pig,Pietrain,36 months,300,Healthy
LV-3333,FARM-2062,Layer,Ross 308,3 months,55,Healthy
LV-3334,FARM-2058,Pig,Large White,8 months,480,At Risk
LV-3335,FARM-2056,Layer,Ross 308,28 months,108,Sick
LV-3336,FARM-2016,Breeder,Giriraja,11 months,452,Sick
LV-3337,FARM-2035,Broiler,Aseel,17 months,47,Healthy
LV-3338,FARM-2083,Pig,Landrace,4 months,207,Healthy
LV-3339,FARM-2092,Breeder,Lohmann Brown,28 months,340,Healthy
LV-3340,FARM-2012,Broiler,Lohmann Brown,31 months,44,Healthy
LV-3341,FARM-2028,Breeder,Vanraja,1 months,9,Healthy
LV-3342,FARM-2015,Layer,Hy-Line Brown,31 months,41,Healthy
LV-3343,FARM-2011,Pig,Duroc,7 months,165,Healthy
LV-3344,FARM-2038,Broiler,Kadaknath,9 months,333,Sick
LV-3345,FARM-2018,Broiler,Ross 308,11 months,230,Healthy
LV-3346,FARM-2027,Breeder,Hy-Line Brown,27 months,320,Healthy
LV-3347,FARM-2027,Broiler,Cobb 500,9 months,390,Healthy
LV-3348,FARM-2093,Pig,Tamworth,23 months,498,Healthy
LV-3349,FARM-2017,Pig,Hampshire,18 months,335,Healthy
LV-3350,FARM-2070,Pig,Berkshire,2 months,439,At Risk
LV-3351,FARM-2038,Broiler,Lohmann Brown,26 months,156,Healthy
LV-3352,FARM-2030,Pig,Chester White,25 months,62,Healthy
LV-3353,FARM-2081,Pig,Duroc,34 months,460,Sick
LV-3354,FARM-2046,Layer,Hy-Line Brown,25 months,445,At Risk
LV-3355,FARM-2053,Layer,Hy-Line Brown,31 months,493,Sick
LV-3356,FARM-2009,Broiler,Cobb 500,1 months,139,Healthy
LV-3357,FARM-2007,Layer,Giriraja,33 months,397,Healthy
LV-3358,FARM-2089,Pig,Tamworth,6 months,332,Healthy
LV-3359,FARM-2078,Broiler,Giriraja,6 months,163,Healthy
LV-3360,FARM-2026,Pig,Landrace,35 months,172,Healthy
LV-3361,FARM-2081,Pig,Duroc,20 months,362,Healthy
LV-3362,FARM-2030,Pig,Large White,16 months,49,At Risk
LV-3363,FARM-2014,Layer,Ross 308,20 months,346,Healthy
LV-3364,FARM-2094,Broiler,Cobb 500,1 months,367,Healthy
LV-3365,FARM-2001,Broiler,Vanraja,23 months,272,Healthy
LV-3366,FARM-2092,Layer,Hy-Line Brown,24 months,69,Healthy
LV-3367,FARM-2034,Pig,Duroc,2 months,176,At Risk
LV-3368,FARM-2034,Pig,Duroc,17 months,369,Sick
LV-3369,FARM-2080,Broiler,Vanraja,30 months,266,Healthy
LV-3370,FARM-2063,Breeder,Hy-Line Brown,24 months,85,Healthy
LV-3371,FARM-2013,Breeder,Cobb 500,15 months,384,Healthy
LV-3372,FARM-2005,Pig,Large White,16 months,28,Healthy
LV-3373,FARM-2049,Broiler,Hy-Line Brown,3 months,288,At Risk
LV-3374,FARM-2091,Breeder,Kadaknath,15 months,169,Healthy
LV-3375,FARM-2092,Layer,Giriraja,5 months,297,Healthy
LV-3376,FARM-2064,Pig,Large White,12 months,119,At Risk
LV-3377,FARM-2005,Pig,Tamworth,5 months,454,Healthy
LV-3378,FARM-2036,Pig,Berkshire,21 months,49,Healthy
LV-3379,FARM-2001,Layer,Lohmann Brown,19 months,293,At Risk
LV-3380,FARM-2094,Breeder,Lohmann Brown,30 months,193,Healthy
LV-3381,FARM-2063,Broiler,Lohmann Brown,10 months,8,Sick
LV-3382,FARM-2003,Broiler,Aseel,1 months,491,Healthy
LV-3383,FARM-2097,Breeder,Kadaknath,20 months,58,Healthy
LV-3384,FARM-2030,Pig,Tamworth,32 months,497,Healthy
LV-3385,FARM-2018,Breeder,Giriraja,6 months,27,At Risk
LV-3386,FARM-2066,Pig,Tamworth,24 months,239,Sick
LV-3387,FARM-2010,Pig,Duroc,33 months,73,Healthy
LV-3388,FARM-2050,Broiler,Ross 308,28 months,344,Sick
LV-3389,FARM-2030,Pig,Berkshire,17 months,440,Healthy
LV-3390,FARM-2050,Breeder,Aseel,21 months,236,Healthy
LV-3391,FARM-2009,Broiler,Hy-Line Brown,7 months,84,Healthy
LV-3392,FARM-2057,Pig,Chester White,21 months,213,Healthy
LV-3393,FARM-2045,Pig,Hampshire,29 months,162,Healthy
LV-3394,FARM-2015,Broiler,Hy-Line Brown,20 months,428,Healthy
LV-3395,FARM-2077,Broiler,Lohmann Brown,21 months,80,Healthy
LV-3396,FARM-2031,Pig,Pietrain,26 months,267,Healthy
LV-3397,FARM-2038,Layer,Hy-Line Brown,2 months,492,Healthy
LV-3398,FARM-2057,Pig,Hampshire,7 months,241,Healthy
LV-3399,FARM-2017,Pig,Duroc,1 months,36,At Risk
LV-3400,FARM-2028,Broiler,Lohmann Brown,26 months,195,Healthy
LV-3401,FARM-2082,Broiler,Giriraja,5 months,16,Sick
