vaccinationId,farmId,vaccineName,vaccinationDate,nextDueDate,status
VAC-4028,FARM-2053,IBD Vaccine,2026-06-28,2026-12-25,Scheduled
VAC-4029,FARM-2056,IBD Vaccine,2026-08-25,2027-08-25,Completed
VAC-4030,FARM-2012,Mycoplasma Vaccine,2026-06-06,2026-12-03,Scheduled
VAC-4031,FARM-2002,Avian Influenza Vaccine,2026-01-21,2026-04-21,Completed
VAC-4032,FARM-2011,Mycoplasma Vaccine,2026-06-16,2027-06-16,Pending
VAC-4033,FARM-2053,Fowl Cholera Vaccine,2026-07-26,2027-01-22,Scheduled
VAC-4034,FARM-2026,PRRS Vaccine,2026-06-13,2026-12-10,Completed
VAC-4035,FARM-2052,IBD Vaccine,2026-02-14,2027-02-14,Scheduled
VAC-4036,FARM-2076,PRRS Vaccine,2026-07-03,2026-12-30,Scheduled
VAC-4037,FARM-2011,Mycoplasma Vaccine,2026-07-31,2027-01-27,Completed
VAC-4038,FARM-2000,IB Vaccine,2026-03-02,2026-05-31,Completed
VAC-4039,FARM-2067,Newcastle Disease Vaccine,2026-06-08,2026-12-05,Pending
VAC-4040,FARM-2069,IB Vaccine,2026-02-26,2026-08-25,Scheduled
VAC-4041,FARM-2084,IBD Vaccine,2026-03-12,2026-06-10,Completed
VAC-4042,FARM-2019,Fowl Cholera Vaccine,2026-08-05,2027-02-01,Completed
VAC-4043,FARM-2020,Mycoplasma Vaccine,2026-08-25,2026-11-23,Completed
VAC-4044,FARM-2046,PCV2 Vaccine,2026-02-23,2026-08-22,Completed
VAC-4045,FARM-2078,Avian Influenza Vaccine,2026-01-12,2026-04-12,Scheduled
VAC-4046,FARM-2068,IBD Vaccine,2026-02-10,2026-05-11,Completed
VAC-4047,FARM-2014,CSF Vaccine,2026-08-18,2026-11-16,Scheduled
VAC-4048,FARM-2075,IB Vaccine,2026-03-25,2026-09-21,Completed
VAC-4049,FARM-2086,Marek's Disease Vaccine,2026-02-28,2026-05-29,Completed
VAC-4050,FARM-2012,PRRS Vaccine,2026-07-08,2027-01-04,Pending
VAC-4051,FARM-2048,IBD Vaccine,2026-01-19,2026-07-18,Scheduled
VAC-4052,FARM-2006,FMD Vaccine,2026-02-07,2026-05-08,Pending
VAC-4053,FARM-2058,IBD Vaccine,2026-04-10,2026-10-07,Completed
VAC-4054,FARM-2092,PRRS Vaccine,2026-06-11,2026-12-08,Pending
VAC-4055,FARM-2025,Marek's Disease Vaccine,2026-02-02,2026-05-03,Scheduled
VAC-4056,FARM-2007,Marek's Disease Vaccine,2026-02-04,2026-05-05,Pending
VAC-4057,FARM-2058,Avian Influenza Vaccine,2026-02-13,2026-08-12,Completed
VAC-4058,FARM-2037,Erysipelas Vaccine,2026-02-10,2027-02-10,Pending
VAC-4059,FARM-2021,IB Vaccine,2026-05-22,2026-08-20,Completed
VAC-4060,FARM-2066,FMD Vaccine,2026-08-09,2026-11-07,Scheduled
VAC-4061,FARM-2059,Marek's Disease Vaccine,2026-01-04,2027-01-04,Completed
VAC-4062,FARM-2031,PRRS Vaccine,2026-03-25,2026-09-21,Scheduled
VAC-4063,FARM-2075,IBD Vaccine,2026-08-22,2027-08-22,Pending
VAC-4064,FARM-2053,Newcastle Disease Vaccine,2026-01-11,2026-07-10,Scheduled
VAC-4065,FARM-2064,CSF Vaccine,2026-04-19,2027-04-19,Completed
VAC-4066,FARM-2089,CSF Vaccine,2026-04-26,2026-10-23,Completed
VAC-4067,FARM-2071,Newcastle Disease Vaccine,2026-06-27,2027-06-27,Completed
VAC-4068,FARM-2027,PRRS Vaccine,2026-04-02,2026-09-29,Completed
VAC-4069,FARM-2011,CSF Vaccine,2026-05-03,2027-05-03,Completed
VAC-4070,FARM-2090,Avian Influenza Vaccine,2026-08-08,2027-08-08,Scheduled
VAC-4071,FARM-2003,Avian Influenza Vaccine,2026-04-29,2026-07-28,Pending
VAC-4072,FARM-2051,PRRS Vaccine,2026-07-22,2027-01-18,Scheduled
VAC-4073,FARM-2090,Fowl Cholera Vaccine,2026-01-01,2027-01-01,Completed
VAC-4074,FARM-2088,PCV2 Vaccine,2026-05-16,2026-08-14,Completed
VAC-4075,FARM-2096,Marek's Disease Vaccine,2026-06-28,2027-06-28,Completed
VAC-4076,FARM-2026,Mycoplasma Vaccine,2026-01-21,2027-01-21,Pending
VAC-4077,FARM-2094,Newcastle Disease Vaccine,2026-05-12,2027-05-12,Completed
VAC-4078,FARM-2006,CSF Vaccine,2026-04-09,2026-10-06,Completed
VAC-4079,FARM-2005,Marek's Disease Vaccine,2026-04-04,2026-07-03,Scheduled
VAC-4080,FARM-2090,Newcastle Disease Vaccine,2026-05-24,2027-05-24,Scheduled
VAC-4081,FARM-2017,PCV2 Vaccine,2026-03-03,2027-03-03,Completed
VAC-4082,FARM-2061,Mycoplasma Vaccine,2026-07-12,2027-07-12,Pending
VAC-4083,FARM-2089,PRRS Vaccine,2026-07-12,2027-07-12,Scheduled
VAC-4084,FARM-2041,Marek's Disease Vaccine,2026-08-18,2027-02-14,Completed
VAC-4085,FARM-2054,PCV2 Vaccine,2026-01-14,2026-04-14,Completed
VAC-4086,FARM-2057,Avian Influenza Vaccine,2026-05-09,2027-05-09,Scheduled
VAC-4087,FARM-2060,Mycoplasma Vaccine,2026-05-17,2027-05-17,Scheduled
VAC-4088,FARM-2037,FMD Vaccine,2026-06-08,2026-12-05,Scheduled
VAC-4089,FARM-2088,CSF Vaccine,2026-02-18,2026-08-17,Completed
VAC-4090,FARM-2050,IBD Vaccine,2026-03-15,2026-06-13,Completed
VAC-4091,FARM-2035,Newcastle Disease Vaccine,2026-06-28,2026-09-26,Completed
VAC-4092,FARM-2026,Erysipelas Vaccine,2026-06-10,2026-09-08,Completed
VAC-4093,FARM-2087,Erysipelas Vaccine,2026-08-27,2026-11-25,Completed
VAC-4094,FARM-2053,Avian Influenza Vaccine,2026-07-08,2027-07-08,Completed
VAC-4095,FARM-2024,Newcastle Disease Vaccine,2026-01-06,2026-04-06,Scheduled
VAC-4096,FARM-2066,Mycoplasma Vaccine,2026-03-27,2026-09-23,Scheduled
VAC-4097,FARM-2083,Fowl Cholera Vaccine,2026-07-21,2027-01-17,Completed
VAC-4098,FARM-2085,Mycoplasma Vaccine,2026-05-16,2027-05-16,Completed
VAC-4099,FARM-2038,IB Vaccine,2026-02-03,2026-08-02,Completed
VAC-4100,FARM-2033,IBD Vaccine,2026-05-04,2026-10-31,Pending
VAC-4101,FARM-2098,Newcastle Disease Vaccine,2026-02-07,2026-08-06,Completed
VAC-4102,FARM-2021,IB Vaccine,2026-08-25,2026-11-23,Scheduled
VAC-4103,FARM-2036,PRRS Vaccine,2026-02-14,2027-02-14,Scheduled
VAC-4104,FARM-2085,PRRS Vaccine,2026-02-11,2026-05-12,Completed
VAC-4105,FARM-2040,Erysipelas Vaccine,2026-02-02,2026-08-01,Completed
VAC-4106,FARM-2023,IBD Vaccine,2026-05-24,2027-05-24,Completed
VAC-4107,FARM-2040,PCV2 Vaccine,2026-02-07,2026-08-06,Completed
VAC-4108,FARM-2020,Erysipelas Vaccine,2026-03-19,2026-06-17,Pending
VAC-4109,FARM-2051,FMD Vaccine,2026-07-16,2026-10-14,Pending
VAC-4110,FARM-2040,PRRS Vaccine,2026-01-02,2027-01-02,Completed
VAC-4111,FARM-2064,PCV2 Vaccine,2026-06-15,2027-06-15,Completed
VAC-4112,FARM-2037,Erysipelas Vaccine,2026-06-20,2026-09-18,Scheduled
VAC-4113,FARM-2093,FMD Vaccine,2026-03-28,2027-03-28,Completed
VAC-4114,FARM-2061,CSF Vaccine,2026-02-05,2027-02-05,Scheduled
VAC-4115,FARM-2039,Newcastle Disease Vaccine,2026-04-13,2027-04-13,Scheduled
VAC-4116,FARM-2057,Marek's Disease Vaccine,2026-01-24,2026-07-23,Completed
VAC-4117,FARM-2082,IBD Vaccine,2026-05-30,2027-05-30,Completed
VAC-4118,FARM-2098,Marek's Disease Vaccine,2026-02-20,2026-05-21,Completed
VAC-4119,FARM-2057,Fowl Cholera Vaccine,2026-06-21,2026-09-19,Pending
VAC-4120,FARM-2050,IBD Vaccine,2026-05-06,2026-11-02,Scheduled
VAC-4121,FARM-2065,CSF Vaccine,2026-08-21,2027-08-21,Completed
VAC-4122,FARM-2018,Fowl Cholera Vaccine,2026-08-07,2027-02-03,Completed
VAC-4123,FARM-2047,CSF Vaccine,2026-03-14,2026-09-10,Completed
VAC-4124,FARM-2057,IB Vaccine,2026-01-23,2026-04-23,Scheduled
VAC-4125,FARM-2056,Fowl Cholera Vaccine,2026-04-17,2026-10-14,Completed
VAC-4126,FARM-2093,FMD Vaccine,2026-07-06,2027-01-02,Completed
VAC-4127,FARM-2075,IB Vaccine,2026-01-23,2026-04-23,Completed
VAC-4128,FARM-2060,Erysipelas Vaccine,2026-03-27,2026-06-25,Pending
VAC-4129,FARM-2075,Avian Influenza Vaccine,2026-01-23,2026-04-23,Completed
VAC-4130,FARM-2034,Avian Influenza Vaccine,2026-02-14,2027-02-14,Completed
VAC-4131,FARM-2072,IBD Vaccine,2026-02-21,2026-05-22,Scheduled
VAC-4132,FARM-2037,Erysipelas Vaccine,2026-05-06,2026-08-04,Scheduled
VAC-4133,FARM-2038,IB Vaccine,2026-03-19,2026-09-15,Scheduled
VAC-4134,FARM-2059,IBD Vaccine,2026-01-07,2026-04-07,Completed
VAC-4135,FARM-2038,Fowl Cholera Vaccine,2026-08-02,2027-08-02,Completed
VAC-4136,FARM-2083,Fowl Cholera Vaccine,2026-08-17,2027-02-13,Completed
VAC-4137,FARM-2062,Fowl Cholera Vaccine,2026-06-15,2026-09-13,Completed
VAC-4138,FARM-2097,PCV2 Vaccine,2026-05-07,2026-08-05,Scheduled
VAC-4139,FARM-2046,Erysipelas Vaccine,2026-05-04,2027-05-04,Completed
VAC-4140,FARM-2033,Fowl Cholera Vaccine,2026-06-25,2026-12-22,Pending
VAC-4141,FARM-2015,Marek's Disease Vaccine,2026-05-12,2027-05-12,Scheduled
VAC-4142,FARM-2033,IBD Vaccine,2026-05-29,2026-08-27,Completed
VAC-4143,FARM-2059,Fowl Cholera Vaccine,2026-02-04,2026-08-03,Completed
VAC-4144,FARM-2034,Marek's Disease Vaccine,2026-04-18,2027-04-18,Pending
VAC-4145,FARM-2045,CSF Vaccine,2026-03-16,2026-09-12,Completed
VAC-4146,FARM-2009,IB Vaccine,2026-02-19,2027-02-19,Completed
VAC-4147,FARM-2012,Erysipelas Vaccine,2026-07-12,2026-10-10,Completed
VAC-4148,FARM-2040,Mycoplasma Vaccine,2026-07-24,2027-01-20,Completed
VAC-4149,FARM-2089,Mycoplasma Vaccine,2026-04-03,2026-07-02,Completed
VAC-4150,FARM-2045,PRRS Vaccine,2026-01-04,2026-04-04,Completed
VAC-4151,FARM-2047,FMD Vaccine,2026-04-16,2026-10-13,Pending
VAC-4152,FARM-2020,CSF Vaccine,2026-02-25,2026-05-26,Completed
VAC-4153,FARM-2024,IB Vaccine,2026-06-07,2027-06-07,Scheduled
VAC-4154,FARM-2067,IB Vaccine,2026-07-02,2027-07-02,Scheduled
VAC-4155,FARM-2014,FMD Vaccine,2026-04-28,2026-07-27,Completed
VAC-4156,FARM-2016,Newcastle Disease Vaccine,2026-05-03,2026-10-30,Completed
VAC-4157,FARM-2046,PRRS Vaccine,2026-07-29,2027-01-25,Pending
VAC-4158,FARM-2076,Erysipelas Vaccine,2026-07-15,2027-01-11,Completed
VAC-4159,FARM-2038,Newcastle Disease Vaccine,2026-07-10,2026-10-08,Completed
VAC-4160,FARM-2088,PRRS Vaccine,2026-06-26,2026-09-24,Completed
VAC-4161,FARM-2026,PRRS Vaccine,2026-01-21,2026-07-20,Scheduled
VAC-4162,FARM-2014,CSF Vaccine,2026-01-05,2026-07-04,Scheduled
VAC-4163,FARM-2005,IBD Vaccine,2026-01-28,2026-04-28,Scheduled
VAC-4164,FARM-2065,Erysipelas Vaccine,2026-01-16,2026-07-15,Completed
VAC-4165,FARM-2032,CSF Vaccine,2026-01-17,2026-07-16,Scheduled
VAC-4166,FARM-2096,Newcastle Disease Vaccine,2026-07-20,2026-10-18,Pending
VAC-4167,FARM-2026,Erysipelas Vaccine,2026-08-19,2026-11-17,Completed
VAC-4168,FARM-2044,Newcastle Disease Vaccine,2026-01-24,2026-04-24,Scheduled
VAC-4169,FARM-2035,IB Vaccine,2026-03-31,2026-09-27,Completed
VAC-4170,FARM-2064,Mycoplasma Vaccine,2026-06-06,2026-09-04,Completed
VAC-4171,FARM-2008,Newcastle Disease Vaccine,2026-07-29,2027-07-29,Scheduled
VAC-4172,FARM-2067,IBD Vaccine,2026-07-03,2026-10-01,Pending
VAC-4173,FARM-2021,IB Vaccine,2026-01-02,2027-01-02,Completed
VAC-4174,FARM-2027,Erysipelas Vaccine,2026-08-06,2027-08-06,Completed
VAC-4175,FARM-2089,Erysipelas Vaccine,2026-02-17,2026-08-16,Scheduled
VAC-4176,FARM-2013,IBD Vaccine,2026-08-02,2027-01-29,Pending
VAC-4177,FARM-2054,PRRS Vaccine,2026-05-12,2026-08-10,Completed
VAC-4178,FARM-2097,PCV2 Vaccine,2026-02-01,2026-07-31,Completed
VAC-4179,FARM-2017,FMD Vaccine,2026-07-15,2027-01-11,Scheduled
VAC-4180,FARM-2071,Fowl Cholera Vaccine,2026-01-11,2026-04-11,Completed
VAC-4181,FARM-2014,FMD Vaccine,2026-03-14,2026-09-10,Scheduled
VAC-4182,FARM-2039,Fowl Cholera Vaccine,2026-08-04,2027-01-31,Completed
VAC-4183,FARM-2052,Marek's Disease Vaccine,2026-08-07,2027-02-03,Completed
VAC-4184,FARM-2008,Avian Influenza Vaccine,2026-06-23,2026-12-20,Completed
VAC-4185,FARM-2086,Avian Influenza Vaccine,2026-06-22,2026-09-20,Completed
VAC-4186,FARM-2066,Mycoplasma Vaccine,2026-06-23,2026-09-21,Completed
VAC-4187,FARM-2050,Avian Influenza Vaccine,2026-06-27,2027-06-27,Pending
VAC-4188,FARM-2094,IBD Vaccine,2026-01-17,2026-07-16,Pending
VAC-4189,FARM-2043,PRRS Vaccine,2026-06-02,2026-11-29,Completed
VAC-4190,FARM-2054,Mycoplasma Vaccine,2026-05-08,2026-11-04,Scheduled
VAC-4191,FARM-2098,IB Vaccine,2026-06-01,2026-11-28,Scheduled
VAC-4192,FARM-2082,Avian Influenza Vaccine,2026-04-02,2026-09-29,Scheduled
VAC-4193,FARM-2051,FMD Vaccine,2026-05-11,2026-11-07,Completed
VAC-4194,FARM-2058,Newcastle Disease Vaccine,2026-02-01,2026-07-31,Completed
VAC-4195,FARM-2029,Fowl Cholera Vaccine,2026-02-04,2026-05-05,Completed
VAC-4196,FARM-2006,CSF Vaccine,2026-05-08,2027-05-08,Completed
VAC-4197,FARM-2022,FMD Vaccine,2026-06-04,2027-06-04,Completed
VAC-4198,FARM-2038,IB Vaccine,2026-06-09,2026-09-07,Scheduled
VAC-4199,FARM-2084,IB Vaccine,2026-07-16,2027-01-12,Scheduled
VAC-4200,FARM-2025,Marek's Disease Vaccine,2026-06-19,2026-12-16,Completed
VAC-4201,FARM-2033,IB Vaccine,2026-03-29,2027-03-29,Completed
VAC-4202,FARM-2097,CSF Vaccine,2026-04-21,2026-07-20,Completed
VAC-4203,FARM-2040,FMD Vaccine,2026-04-24,2026-10-21,Completed
VAC-4204,FARM-2022,Erysipelas Vaccine,2026-06-18,2026-12-15,Pending
VAC-4205,FARM-2021,Avian Influenza Vaccine,2026-04-21,2026-07-20,Completed
VAC-4206,FARM-2049,Avian Influenza Vaccine,2026-07-15,2026-10-13,Scheduled
VAC-4207,FARM-2062,Fowl Cholera Vaccine,2026-05-22,2027-05-22,Completed
VAC-4208,FARM-2060,FMD Vaccine,2026-05-24,2026-08-22,Completed
VAC-4209,FARM-2050,Marek's Disease Vaccine,2026-05-07,2027-05-07,Pending
VAC-4210,FARM-2078,Fowl Cholera Vaccine,2026-04-01,2026-09-28,Completed
VAC-4211,FARM-2003,IB Vaccine,2026-01-12,2026-04-12,Scheduled
VAC-4212,FARM-2044,Fowl Cholera Vaccine,2026-05-30,2026-08-28,Scheduled
VAC-4213,FARM-2080,Marek's Disease Vaccine,2026-04-08,2026-07-07,Completed
VAC-4214,FARM-2045,FMD Vaccine,2026-03-31,2026-06-29,Scheduled
VAC-4215,FARM-2031,PRRS Vaccine,2026-06-15,2026-12-12,Scheduled
VAC-4216,FARM-2088,CSF Vaccine,2026-08-11,2027-02-07,Completed
VAC-4217,FARM-2021,Newcastle Disease Vaccine,2026-05-18,2026-11-14,Completed
VAC-4218,FARM-2084,Avian Influenza Vaccine,2026-05-26,2027-05-26,Pending
VAC-4219,FARM-2034,Newcastle Disease Vaccine,2026-06-28,2026-12-25,Scheduled
VAC-4220,FARM-2040,FMD Vaccine,2026-05-27,2026-11-23,Completed
VAC-4221,FARM-2012,FMD Vaccine,2026-01-26,2027-01-26,Scheduled
VAC-4222,FARM-2043,FMD Vaccine,2026-05-09,2027-05-09,Completed
VAC-4223,FARM-2078,Marek's Disease Vaccine,2026-04-04,2026-10-01,Completed
VAC-4224,FARM-2081,Newcastle Disease Vaccine,2026-08-04,2027-08-04,Completed
VAC-4225,FARM-2033,Newcastle Disease Vaccine,2026-03-18,2027-03-18,Completed
VAC-4226,FARM-2028,Erysipelas Vaccine,2026-07-10,2026-10-08,Scheduled
VAC-4227,FARM-2074,CSF Vaccine,2026-06-01,2026-11-28,Completed
VAC-4228,FARM-2072,IB Vaccine,2026-05-02,2026-10-29,Completed
VAC-4229,FARM-2009,Fowl Cholera Vaccine,2026-07-30,2027-01-26,Completed
VAC-4230,FARM-2038,Avian Influenza Vaccine,2026-06-19,2027-06-19,Completed
VAC-4231,FARM-2053,Avian Influenza Vaccine,2026-03-06,2027-03-06,Completed
VAC-4232,FARM-2085,Erysipelas Vaccine,2026-02-16,2026-05-17,Scheduled
VAC-4233,FARM-2066,PRRS Vaccine,2026-05-28,2026-11-24,Completed
VAC-4234,FARM-2095,Avian Influenza Vaccine,2026-03-10,2027-03-10,Completed
VAC-4235,FARM-2078,Avian Influenza Vaccine,2026-05-25,2027-05-25,Scheduled
VAC-4236,FARM-2066,PRRS Vaccine,2026-04-04,2026-10-01,Completed
VAC-4237,FARM-2019,Fowl Cholera Vaccine,2026-06-25,2026-12-22,Scheduled
VAC-4238,FARM-2052,Marek's Disease Vaccine,2026-08-09,2026-11-07,Scheduled
VAC-4239,FARM-2052,Marek's Disease Vaccine,2026-07-30,2027-01-26,Scheduled
VAC-4240,FARM-2032,Mycoplasma Vaccine,2026-06-03,2026-09-01,Completed
VAC-4241,FARM-2014,PRRS Vaccine,2026-02-19,2026-05-20,Completed
VAC-4242,FARM-2039,Avian Influenza Vaccine,2026-05-05,2027-05-05,Pending
VAC-4243,FARM-2054,Mycoplasma Vaccine,2026-08-20,2026-11-18,Completed
VAC-4244,FARM-2034,IBD Vaccine,2026-01-08,2026-07-07,Scheduled
VAC-4245,FARM-2035,Fowl Cholera Vaccine,2026-05-21,2026-08-19,Scheduled
VAC-4246,FARM-2005,Fowl Cholera Vaccine,2026-05-05,2026-08-03,Completed
VAC-4247,FARM-2010,Marek's Disease Vaccine,2026-06-04,2026-12-01,Pending
VAC-4248,FARM-2052,Marek's Disease Vaccine,2026-06-21,2027-06-21,Pending
VAC-4249,FARM-2050,Fowl Cholera Vaccine,2026-08-04,2026-11-02,Completed
VAC-4250,FARM-2073,Fowl Cholera Vaccine,2026-05-09,2026-08-07,Completed
VAC-4251,FARM-2074,Erysipelas Vaccine,2026-03-06,2026-09-02,Pending
VAC-4252,FARM-2030,IB Vaccine,2026-02-01,2026-07-31,Completed
VAC-4253,FARM-2074,Mycoplasma Vaccine,2026-04-10,2027-04-10,Scheduled
VAC-4254,FARM-2054,PRRS Vaccine,2026-02-06,2026-05-07,Completed
VAC-4255,FARM-2035,Avian Influenza Vaccine,2026-04-15,2026-10-12,Pending
VAC-4256,FARM-2007,Avian Influenza Vaccine,2026-05-17,2026-11-13,Scheduled
VAC-4257,FARM-2014,PCV2 Vaccine,2026-05-20,2026-11-16,Completed
VAC-4258,FARM-2031,PCV2 Vaccine,2026-08-14,2026-11-12,Completed
VAC-4259,FARM-2091,PCV2 Vaccine,2026-07-30,2027-01-26,Completed
VAC-4260,FARM-2077,Newcastle Disease Vaccine,2026-08-04,2027-08-04,Scheduled
VAC-4261,FARM-2006,Mycoplasma Vaccine,2026-08-23,2027-08-23,Completed
VAC-4262,FARM-2070,FMD Vaccine,2026-03-21,2027-03-21,Pending
VAC-4263,FARM-2046,Mycoplasma Vaccine,2026-02-01,2027-02-01,Pending
VAC-4264,FARM-2056,Avian Influenza Vaccine,2026-01-03,2026-07-02,Pending
VAC-4265,FARM-2032,PCV2 Vaccine,2026-01-24,2026-04-24,Completed
VAC-4266,FARM-2020,FMD Vaccine,2026-06-11,2026-12-08,Pending
VAC-4267,FARM-2098,Fowl Cholera Vaccine,2026-04-15,2026-07-14,Completed
VAC-4268,FARM-2010,Avian Influenza Vaccine,2026-05-01,2027-05-01,Completed
VAC-4269,FARM-2042,Mycoplasma Vaccine,2026-04-19,2026-07-18,Scheduled
VAC-4270,FARM-2089,PCV2 Vaccine,2026-05-10,2026-08-08,Completed
VAC-4271,FARM-2077,Fowl Cholera Vaccine,2026-07-28,2027-07-28,Scheduled
VAC-4272,FARM-2058,Fowl Cholera Vaccine,2026-01-08,2026-04-08,Scheduled
VAC-4273,FARM-2023,Fowl Cholera Vaccine,2026-04-24,2027-04-24,Completed
VAC-4274,FARM-2051,PRRS Vaccine,2026-06-10,2026-12-07,Completed
VAC-4275,FARM-2010,Newcastle Disease Vaccine,2026-02-10,2026-05-11,Completed
VAC-4276,FARM-2098,Fowl Cholera Vaccine,2026-07-15,2026-10-13,Scheduled
VAC-4277,FARM-2087,FMD Vaccine,2026-07-22,2027-01-18,Completed
VAC-4278,FARM-2094,IBD Vaccine,2026-03-08,2026-06-06,Scheduled
VAC-4279,FARM-2041,Marek's Disease Vaccine,2026-02-20,2026-05-21,Completed
VAC-4280,FARM-2023,Avian Influenza Vaccine,2026-08-13,2027-02-09,Pending
VAC-4281,FARM-2073,IBD Vaccine,2026-01-06,2026-04-06,Pending
VAC-4282,FARM-2082,IB Vaccine,2026-06-10,2026-09-08,Pending
VAC-4283,FARM-2059,IBD Vaccine,2026-03-09,2027-03-09,Pending
VAC-4284,FARM-2006,FMD Vaccine,2026-06-08,2026-12-05,Scheduled
VAC-4285,FARM-2019,Newcastle Disease Vaccine,2026-04-05,2026-07-04,Pending
VAC-4286,FARM-2015,Newcastle Disease Vaccine,2026-07-03,2027-07-03,Completed
VAC-4287,FARM-2058,Fowl Cholera Vaccine,2026-05-07,2026-08-05,Completed
VAC-4288,FARM-2026,PRRS Vaccine,2026-08-09,2027-02-05,Completed
VAC-4289,FARM-2063,FMD Vaccine,2026-02-03,2026-08-02,Pending
VAC-4290,FARM-2076,PRRS Vaccine,2026-07-30,2027-01-26,Scheduled
VAC-4291,FARM-2024,Avian Influenza Vaccine,2026-02-16,2026-08-15,Scheduled
VAC-4292,FARM-2003,Marek's Disease Vaccine,2026-03-09,2026-06-07,Scheduled
VAC-4293,FARM-2031,PCV2 Vaccine,2026-05-30,2027-05-30,Scheduled
VAC-4294,FARM-2010,Newcastle Disease Vaccine,2026-05-01,2026-07-30,Pending
VAC-4295,FARM-2088,FMD Vaccine,2026-06-25,2026-09-23,Scheduled
VAC-4296,FARM-2090,Avian Influenza Vaccine,2026-07-08,2027-07-08,Completed
VAC-4297,FARM-2012,Erysipelas Vaccine,2026-01-16,2026-04-16,Completed
VAC-4298,FARM-2030,Avian Influenza Vaccine,2026-08-21,2027-02-17,Pending
VAC-4299,FARM-2085,Erysipelas Vaccine,2026-07-01,2027-07-01,Scheduled
VAC-4300,FARM-2000,Marek's Disease Vaccine,2026-05-10,2027-05-10,Completed
VAC-4301,FARM-2050,Fowl Cholera Vaccine,2026-04-05,2026-07-04,Pending
VAC-4302,FARM-2071,Newcastle Disease Vaccine,2026-05-29,2026-08-27,Completed
VAC-4303,FARM-2064,FMD Vaccine,2026-08-27,2027-02-23,Pending
VAC-4304,FARM-2016,Newcastle Disease Vaccine,2026-03-23,2027-03-23,Completed
VAC-4305,FARM-2018,Marek's Disease Vaccine,2026-01-30,2026-07-29,Completed
VAC-4306,FARM-2016,Avian Influenza Vaccine,2026-08-12,2027-02-08,Scheduled
VAC-4307,FARM-2055,PCV2 Vaccine,2026-08-20,2027-02-16,Scheduled
VAC-4308,FARM-2097,PCV2 Vaccine,2026-05-13,2026-11-09,Completed
VAC-4309,FARM-2021,Marek's Disease Vaccine,2026-07-08,2027-01-04,Scheduled
VAC-4310,FARM-2019,IB Vaccine,2026-08-07,2027-08-07,Scheduled
VAC-4311,FARM-2056,Newcastle Disease Vaccine,2026-02-18,2026-05-19,Completed
VAC-4312,FARM-2023,Newcastle Disease Vaccine,2026-05-01,2026-10-28,Completed
VAC-4313,FARM-2059,Avian Influenza Vaccine,2026-01-30,2026-07-29,Completed
VAC-4314,FARM-2045,Mycoplasma Vaccine,2026-05-24,2026-11-20,Completed
