assessmentId,farmId,hygieneScore,waterQualityScore,feedManagementScore,visitorControlScore,wasteManagementScore,vaccinationComplianceScore,totalBiosecurityScore,riskLevel,assessmentDate
BIO-6042,FARM-2042,12,7,13,8,8,18,55,Moderate,2024-03-08
BIO-6043,FARM-2043,15,7,16,15,13,9,62,Moderate,2024-08-19
BIO-6044,FARM-2044,13,5,8,17,12,17,60,Moderate,2024-04-17
BIO-6045,FARM-2045,8,10,14,20,8,16,63,Moderate,2025-12-18
BIO-6046,FARM-2046,14,13,8,6,10,15,55,Moderate,2025-02-02
BIO-6047,FARM-2047,10,16,17,20,9,13,71,Moderate,2024-01-10
BIO-6048,FARM-2048,9,9,9,17,13,6,52,Moderate,2025-10-16
BIO-6049,FARM-2049,16,12,18,19,10,19,78,Moderate,2024-12-28
BIO-6050,FARM-2050,19,14,13,18,12,14,75,Moderate,2025-10-12
BIO-6051,FARM-2051,7,14,18,15,7,7,57,Moderate,2024-03-19
BIO-6052,FARM-2052,12,7,10,6,7,14,47,High,2025-07-21
BIO-6053,FARM-2053,20,5,18,9,20,20,77,Moderate,2025-06-11
BIO-6054,FARM-2054,8,17,5,11,5,18,53,Moderate,2025-12-20
BIO-6055,FARM-2055,16,12,6,19,10,12,62,Moderate,2024-06-28
BIO-6056,FARM-2056,7,16,9,16,6,18,60,Moderate,2025-05-22
BIO-6057,FARM-2057,17,10,16,8,15,12,65,Moderate,2025-07-06
BIO-6058,FARM-2058,8,14,14,20,14,13,69,Moderate,2024-08-06
BIO-6059,FARM-2059,5,17,11,14,6,19,60,Moderate,2025-09-24
BIO-6060,FARM-2060,20,6,16,5,19,15,68,Moderate,2024-11-01
BIO-6061,FARM-2061,16,8,5,16,10,17,60,Moderate,2024-12-29
BIO-6062,FARM-2062,5,8,18,20,11,7,57,Moderate,2025-06-25
BIO-6063,FARM-2063,9,18,8,20,5,9,57,Moderate,2025-11-03
BIO-6064,FARM-2064,13,12,20,17,16,14,77,Moderate,2025-01-08
BIO-6065,FARM-2065,18,10,13,8,19,19,72,Moderate,2024-06-14
BIO-6066,FARM-2066,9,16,18,5,16,11,62,Moderate,2024-04-23
BIO-6067,FARM-2067,11,14,6,9,17,18,62,Moderate,2024-12-05
BIO-6068,FARM-2068,6,10,11,20,13,8,57,Moderate,2025-03-07
BIO-6069,FARM-2069,20,20,9,15,17,17,82,Low,2024-05-14
BIO-6070,FARM-2070,8,8,5,9,9,16,46,High,2025-05-27
BIO-6071,FARM-2071,5,12,6,15,18,5,51,Moderate,2025-03-20
BIO-6072,FARM-2072,20,14,14,20,7,18,78,Moderate,2024-09-10
BIO-6073,FARM-2073,9,10,12,13,8,13,54,Moderate,2025-12-18
BIO-6074,FARM-2074,12,18,11,20,8,10,66,Moderate,2024-07-12
BIO-6075,FARM-2075,9,12,8,9,17,6,51,Moderate,2024-10-07
BIO-6076,FARM-2076,11,9,18,5,11,7,51,Moderate,2024-02-22
BIO-6077,FARM-2077,17,18,14,12,12,15,73,Moderate,2025-03-12
BIO-6078,FARM-2078,20,6,18,6,14,8,60,Moderate,2024-10-02
BIO-6079,FARM-2079,16,13,16,18,12,15,75,Moderate,2024-02-18
BIO-6080,FARM-2080,10,6,5,6,15,11,44,High,2024-10-19
BIO-6081,FARM-2081,20,13,8,18,10,13,68,Moderate,2025-05-18
BIO-6082,FARM-2082,16,15,14,8,8,5,55,Moderate,2025-11-30
BIO-6083,FARM-2083,9,15,16,16,16,12,70,Moderate,2025-10-27
BIO-6084,FARM-2084,13,11,17,7,8,9,54,Moderate,2025-10-06
BIO-6085,FARM-2085,8,6,11,11,19,8,52,Moderate,2024-03-17
BIO-6086,FARM-2086,15,14,20,11,9,6,62,Moderate,2024-05-10
BIO-6087,FARM-2087,11,18,13,16,16,19,78,Moderate,2025-10-06
BIO-6088,FARM-2088,8,18,7,20,18,5,63,Moderate,2024-06-19
BIO-6089,FARM-2089,13,9,14,6,6,11,49,High,2025-02-11
BIO-6090,FARM-2090,20,7,10,19,17,17,75,Moderate,2025-02-14
BIO-6091,FARM-2091,13,11,10,5,10,11,50,High,2025-08-29
BIO-6092,FARM-2092,5,19,13,14,12,14,64,Moderate,2025-12-26
BIO-6093,FARM-2093,13,8,10,12,6,12,51,Moderate,2024-10-25
BIO-6094,FARM-2094,6,9,13,9,13,6,47,High,2025-10-19
BIO-6095,FARM-2095,12,11,8,5,16,16,57,Moderate,2024-11-28
BIO-6096,FARM-2096,7,13,9,18,14,15,63,Moderate,2024-02-28
BIO-6097,FARM-2097,5,16,12,13,10,13,57,Moderate,2024-01-17
BIO-6098,FARM-2098,8,17,13,11,19,12,67,Moderate,2024-11-28
BIO-6099,FARM-2099,13,11,17,9,19,12,68,Moderate,2025-03-20
