outbreakId,diseaseName,district,state,outbreakDate,affectedAnimals,severity
OUT-5054,Bird Flu,Tirupati,Andhra Pradesh,2026-02-06,605,Moderate
OUT-5055,Newcastle Disease,Nizamabad,Telangana,2026-08-22,1577,Moderate
OUT-5056,African Swine Fever,Coimbatore,Tamil Nadu,2026-02-20,591,Low
OUT-5057,African Swine Fever,Kozhikode,Kerala,2026-03-28,1745,Moderate
OUT-5058,African Swine Fever,Trichy,Tamil Nadu,2026-01-06,370,High
OUT-5059,Bird Flu,Chennai,Tamil Nadu,2026-08-01,1397,Low
OUT-5060,Bird Flu,Nizamabad,Telangana,2026-03-28,1927,Low
OUT-5061,African Swine Fever,Vijayawada,Andhra Pradesh,2026-04-05,1667,Moderate
OUT-5062,Newcastle Disease,Trichy,Tamil Nadu,2026-07-24,1286,High
OUT-5063,Bird Flu,Erode,Tamil Nadu,2026-02-06,1817,High
OUT-5064,African Swine Fever,Kochi,Kerala,2026-05-17,784,Moderate
OUT-5065,Newcastle Disease,Bengaluru,Karnataka,2026-04-20,1312,Low
OUT-5066,Newcastle Disease,Salem,Tamil Nadu,2026-05-31,397,High
OUT-5067,African Swine Fever,Thrissur,Kerala,2026-03-25,516,Low
OUT-5068,African Swine Fever,Kozhikode,Kerala,2026-08-06,1050,High
OUT-5069,African Swine Fever,Visakhapatnam,Andhra Pradesh,2026-07-06,176,High
OUT-5070,Newcastle Disease,Karimnagar,Telangana,2026-01-17,352,Moderate
OUT-5071,Newcastle Disease,Nizamabad,Telangana,2026-04-06,1031,Moderate
OUT-5072,Foot and Mouth Disease,Trichy,Tamil Nadu,2026-07-02,775,Moderate
OUT-5073,Swine Influenza,Visakhapatnam,Andhra Pradesh,2026-05-02,559,Moderate
OUT-5074,Newcastle Disease,Nizamabad,Telangana,2026-06-16,84,Low
OUT-5075,Swine Influenza,Kochi,Kerala,2026-08-09,490,Moderate
OUT-5076,Swine Influenza,Thrissur,Kerala,2026-08-16,782,Moderate
OUT-5077,Foot and Mouth Disease,Mysuru,Karnataka,2026-05-21,183,Low
OUT-5078,Foot and Mouth Disease,Erode,Tamil Nadu,2026-04-24,1072,Moderate
OUT-5079,Bird Flu,Hyderabad,Telangana,2026-04-30,1059,Moderate
OUT-5080,Swine Influenza,Mangaluru,Karnataka,2026-04-30,895,Moderate
OUT-5081,Foot and Mouth Disease,Visakhapatnam,Andhra Pradesh,2026-03-11,793,Low
OUT-5082,African Swine Fever,Vijayawada,Andhra Pradesh,2026-03-09,1331,Low
OUT-5083,Foot and Mouth Disease,Erode,Tamil Nadu,2026-08-04,1037,Moderate
OUT-5084,Bird Flu,Nizamabad,Telangana,2026-07-21,576,High
OUT-5085,Bird Flu,Chennai,Tamil Nadu,2026-01-19,747,Low
OUT-5086,Foot and Mouth Disease,Kochi,Kerala,2026-02-20,1392,Moderate
OUT-5087,Foot and Mouth Disease,Thrissur,Kerala,2026-02-18,1455,Moderate
OUT-5088,Newcastle Disease,Madurai,Tamil Nadu,2026-08-22,544,Low
OUT-5089,Foot and Mouth Disease,Thrissur,Kerala,2026-07-30,719,High
OUT-5090,Swine Influenza,Hubli,Karnataka,2026-07-30,1197,High
OUT-5091,Swine Influenza,Coimbatore,Tamil Nadu,2026-06-17,1059,High
OUT-5092,Swine Influenza,Madurai,Tamil Nadu,2026-02-28,474,High
OUT-5093,Swine Influenza,Kochi,Kerala,2026-03-01,1066,Moderate
OUT-5094,Swine Influenza,Tirupati,Andhra Pradesh,2026-07-04,1677,Moderate
OUT-5095,Foot and Mouth Disease,Erode,Tamil Nadu,2026-08-05,394,Moderate
OUT-5096,African Swine Fever,Mangaluru,Karnataka,2026-04-23,931,High
OUT-5097,Foot and Mouth Disease,Coimbatore,Tamil Nadu,2026-02-05,1192,High
OUT-5098,Bird Flu,Thrissur,Kerala,2026-05-08,1669,Moderate
OUT-5099,Foot and Mouth Disease,Mysuru,Karnataka,2026-02-27,868,Moderate
OUT-5100,Newcastle Disease,Hubli,Karnataka,2026-03-18,677,Moderate
OUT-5101,Bird Flu,Hyderabad,Telangana,2026-08-25,294,Low
OUT-5102,Newcastle Disease,Bengaluru,Karnataka,2026-06-11,1646,Moderate
OUT-5103,Newcastle Disease,Warangal,Telangana,2026-08-10,810,High
OUT-5104,Swine Influenza,Kochi,Kerala,2026-01-17,1104,Moderate
OUT-5105,Bird Flu,Visakhapatnam,Andhra Pradesh,2026-03-26,1176,High
OUT-5106,Foot and Mouth Disease,Nizamabad,Telangana,2026-01-24,361,Low
OUT-5107,African Swine Fever,Tirupati,Andhra Pradesh,2026-01-09,1702,Moderate
OUT-5108,Bird Flu,Visakhapatnam,Andhra Pradesh,2026-02-17,417,Low
OUT-5109,Foot and Mouth Disease,Hubli,Karnataka,2026-02-22,487,Low
OUT-5110,Bird Flu,Guntur,Andhra Pradesh,2026-04-27,127,Moderate
OUT-5111,African Swine Fever,Coimbatore,Tamil Nadu,2026-03-25,1770,High
OUT-5112,African Swine Fever,Hubli,Karnataka,2026-01-29,274,Moderate
OUT-5113,Bird Flu,Visakhapatnam,Andhra Pradesh,2026-04-10,1966,High
OUT-5114,African Swine Fever,Kochi,Kerala,2026-08-11,431,Moderate
OUT-5115,Swine Influenza,Karimnagar,Telangana,2026-02-10,1246,Moderate
OUT-5116,Newcastle Disease,Thrissur,Kerala,2026-02-21,1039,High
OUT-5117,Foot and Mouth Disease,Vijayawada,Andhra Pradesh,2026-02-21,25,High
OUT-5118,Bird Flu,Vijayawada,Andhra Pradesh,2026-07-31,827,Moderate
OUT-5119,Newcastle Disease,Thiruvananthapuram,Kerala,2026-03-26,1874,Moderate
OUT-5120,Swine Influenza,Visakhapatnam,Andhra Pradesh,2026-04-29,1189,Low
OUT-5121,Foot and Mouth Disease,Erode,Tamil Nadu,2026-06-15,1814,High
OUT-5122,Foot and Mouth Disease,Mysuru,Karnataka,2026-04-11,1265,High
OUT-5123,Swine Influenza,Trichy,Tamil Nadu,2026-03-05,377,High
OUT-5124,Swine Influenza,Mangaluru,Karnataka,2026-04-09,1875,Moderate
OUT-5125,Bird Flu,Hyderabad,Telangana,2026-04-11,1440,High
OUT-5126,African Swine Fever,Thiruvananthapuram,Kerala,2026-03-12,1817,Moderate
OUT-5127,Bird Flu,Thrissur,Kerala,2026-06-28,1497,High
OUT-5128,Swine Influenza,Kochi,Kerala,2026-04-16,1570,Moderate
OUT-5129,Bird Flu,Mysuru,Karnataka,2026-07-13,225,Moderate
OUT-5130,Swine Influenza,Bengaluru,Karnataka,2026-04-26,347,Low
OUT-5131,Bird Flu,Guntur,Andhra Pradesh,2026-04-29,64,Low
OUT-5132,Swine Influenza,Karimnagar,Telangana,2026-04-08,713,High
OUT-5133,Swine Influenza,Kochi,Kerala,2026-01-10,31,Low
OUT-5134,Foot and Mouth Disease,Madurai,Tamil Nadu,2026-06-21,1543,Moderate
OUT-5135,Bird Flu,Vijayawada,Andhra Pradesh,2026-01-22,1133,Moderate
OUT-5136,African Swine Fever,Vijayawada,Andhra Pradesh,2026-05-01,1690,Low
OUT-5137,African Swine Fever,Trichy,Tamil Nadu,2026-08-03,46,Moderate
OUT-5138,Foot and Mouth Disease,Trichy,Tamil Nadu,2026-02-01,1104,High
OUT-5139,Bird Flu,Trichy,Tamil Nadu,2026-06-21,1573,Low
OUT-5140,African Swine Fever,Kozhikode,Kerala,2026-04-23,743,Low
OUT-5141,Newcastle Disease,Salem,Tamil Nadu,2026-02-25,915,Moderate
OUT-5142,Newcastle Disease,Nizamabad,Telangana,2026-06-14,1366,High
OUT-5143,Swine Influenza,Chennai,Tamil Nadu,2026-06-26,641,Moderate
OUT-5144,Bird Flu,Warangal,Telangana,2026-01-13,1591,Moderate
OUT-5145,African Swine Fever,Kochi,Kerala,2026-04-06,1871,Low
OUT-5146,Bird Flu,Erode,Tamil Nadu,2026-04-18,67,High
OUT-5147,African Swine Fever,Bengaluru,Karnataka,2026-06-24,1380,Low
OUT-5148,African Swine Fever,Chennai,Tamil Nadu,2026-07-05,352,Low
OUT-5149,Bird Flu,Guntur,Andhra Pradesh,2026-07-28,679,Moderate
OUT-5150,African Swine Fever,Nizamabad,Telangana,2026-06-09,434,High
OUT-5151,Swine Influenza,Hubli,Karnataka,2026-01-31,485,Low
OUT-5152,Foot and Mouth Disease,Mysuru,Karnataka,2026-02-14,40,Moderate
OUT-5153,Bird Flu,Bengaluru,Karnataka,2026-04-10,445,Moderate
OUT-5154,Foot and Mouth Disease,Erode,Tamil Nadu,2026-06-16,1287,Moderate
OUT-5155,African Swine Fever,Erode,Tamil Nadu,2026-04-16,627,High
OUT-5156,Bird Flu,Visakhapatnam,Andhra Pradesh,2026-07-02,1108,High
OUT-5157,African Swine Fever,Hyderabad,Telangana,2026-03-06,1974,Low
OUT-5158,Swine Influenza,Bengaluru,Karnataka,2026-06-23,1903,High
OUT-5159,Foot and Mouth Disease,Madurai,Tamil Nadu,2026-02-14,1311,High
OUT-5160,Swine Influenza,Bengaluru,Karnataka,2026-01-18,696,Low
OUT-5161,Swine Influenza,Hyderabad,Telangana,2026-04-08,1056,Moderate
OUT-5162,Newcastle Disease,Thiruvananthapuram,Kerala,2026-05-31,1453,High
OUT-5163,Bird Flu,Thiruvananthapuram,Kerala,2026-06-07,1564,High
OUT-5164,African Swine Fever,Thrissur,Kerala,2026-07-08,887,High
OUT-5165,Bird Flu,Warangal,Telangana,2026-01-16,291,Moderate
OUT-5166,African Swine Fever,Thrissur,Kerala,2026-02-08,779,Low
OUT-5167,African Swine Fever,Salem,Tamil Nadu,2026-08-25,1495,Moderate
OUT-5168,Foot and Mouth Disease,Vijayawada,Andhra Pradesh,2026-02-04,579,Moderate
OUT-5169,Newcastle Disease,Salem,Tamil Nadu,2026-07-22,859,Moderate
OUT-5170,Bird Flu,Thrissur,Kerala,2026-02-28,1744,High
OUT-5171,African Swine Fever,Bengaluru,Karnataka,2026-02-22,1114,Low
OUT-5172,African Swine Fever,Karimnagar,Telangana,2026-07-25,1417,Moderate
OUT-5173,Newcastle Disease,Thiruvananthapuram,Kerala,2026-08-12,791,Moderate
OUT-5174,Swine Influenza,Trichy,Tamil Nadu,2026-06-11,22,Low
OUT-5175,Bird Flu,Visakhapatnam,Andhra Pradesh,2026-02-19,116,Moderate
OUT-5176,African Swine Fever,Madurai,Tamil Nadu,2026-02-02,197,Low
OUT-5177,African Swine Fever,Tirupati,Andhra Pradesh,2026-03-02,1049,Low
OUT-5178,Foot and Mouth Disease,Vijayawada,Andhra Pradesh,2026-02-12,1487,Low
OUT-5179,African Swine Fever,Mangaluru,Karnataka,2026-06-05,519,Moderate
OUT-5180,Swine Influenza,Hyderabad,Telangana,2026-06-12,422,Low
OUT-5181,Bird Flu,Visakhapatnam,Andhra Pradesh,2026-04-03,825,Moderate
OUT-5182,Swine Influenza,Visakhapatnam,Andhra Pradesh,2026-04-19,1044,Moderate
OUT-5183,African Swine Fever,Mangaluru,Karnataka,2026-07-29,1963,High
OUT-5184,Swine Influenza,Coimbatore,Tamil Nadu,2026-04-20,1759,Low
OUT-5185,Newcastle Disease,Thrissur,Kerala,2026-05-18,322,Moderate
OUT-5186,Foot and Mouth Disease,Trichy,Tamil Nadu,2026-04-08,959,Moderate
OUT-5187,Swine Influenza,Thrissur,Kerala,2026-05-24,1251,Moderate
OUT-5188,African Swine Fever,Bengaluru,Karnataka,2026-07-03,971,Low
OUT-5189,Bird Flu,Kochi,Kerala,2026-01-04,1774,Moderate
OUT-5190,Swine Influenza,Mysuru,Karnataka,2026-04-14,1905,Moderate
OUT-5191,Foot and Mouth Disease,Hubli,Karnataka,2026-04-09,1012,Moderate
OUT-5192,Bird Flu,Hyderabad,Telangana,2026-04-15,1822,Low
OUT-5193,Swine Influenza,Chennai,Tamil Nadu,2026-08-27,1168,Low
OUT-5194,Foot and Mouth Disease,Mangaluru,Karnataka,2026-07-17,1880,High
OUT-5195,Newcastle Disease,Mysuru,Karnataka,2026-07-01,1010,Moderate
OUT-5196,Bird Flu,Mysuru,Karnataka,2026-06-16,799,High
OUT-5197,African Swine Fever,Thiruvananthapuram,Kerala,2026-05-03,80,High
OUT-5198,Bird Flu,Mysuru,Karnataka,2026-06-28,1373,Moderate
OUT-5199,Newcastle Disease,Kozhikode,Kerala,2026-04-27,1943,Moderate
