locationId,farmId,latitude,longitude,hotspotStatus
GIS-9044,FARM-2044,9.896906,78.156816,Inactive
GIS-9045,FARM-2045,11.704468,78.154338,Monitoring
GIS-9046,FARM-2046,13.108751,80.311843,Inactive
GIS-9047,FARM-2047,9.96081,78.1216,Monitoring
GIS-9048,FARM-2048,12.949342,74.882905,Active
GIS-9049,FARM-2049,13.108866,80.290949,Active
GIS-9050,FARM-2050,8.508612,76.967661,Inactive
GIS-9051,FARM-2051,18.714292,78.094424,Active
GIS-9052,FARM-2052,10.997503,77.002696,Inactive
GIS-9053,FARM-2053,12.95205,77.582582,Inactive
GIS-9054,FARM-2054,11.01823,76.9519,Inactive
GIS-9055,FARM-2055,10.503982,76.185256,Inactive
GIS-9056,FARM-2056,17.413618,78.42954,Active
GIS-9057,FARM-2057,9.889197,76.261879,Active
GIS-9058,FARM-2058,10.745591,78.712699,Inactive
GIS-9059,FARM-2059,11.074602,76.983354,Monitoring
GIS-9060,FARM-2060,11.278729,77.700895,Active
GIS-9061,FARM-2061,18.668297,78.039959,Inactive
GIS-9062,FARM-2062,13.102294,80.323448,Inactive
GIS-9063,FARM-2063,13.070657,80.28351,Active
GIS-9064,FARM-2064,16.345068,80.447331,Inactive
GIS-9065,FARM-2065,16.29766,80.432656,Inactive
GIS-9066,FARM-2066,10.777804,78.675697,Monitoring
GIS-9067,FARM-2067,18.718513,78.154461,Inactive
GIS-9068,FARM-2068,10.545573,76.150835,Active
GIS-9069,FARM-2069,13.64379,79.415328,Monitoring
GIS-9070,FARM-2070,17.382877,78.431173,Monitoring
GIS-9071,FARM-2071,12.9361,74.888669,Inactive
GIS-9072,FARM-2072,18.617757,78.060052,Monitoring
GIS-9073,FARM-2073,13.598899,79.364361,Active
GIS-9074,FARM-2074,18.704707,78.050701,Inactive
GIS-9075,FARM-2075,13.006241,77.562349,Inactive
GIS-9076,FARM-2076,17.418769,78.460048,Inactive
GIS-9077,FARM-2077,17.714527,83.174762,Monitoring
GIS-9078,FARM-2078,16.552708,80.67101,Monitoring
GIS-9079,FARM-2079,18.703391,78.106843,Inactive
GIS-9080,FARM-2080,13.076218,80.281892,Active
GIS-9081,FARM-2081,11.21048,75.807087,Active
GIS-9082,FARM-2082,8.53905,76.92327,Inactive
GIS-9083,FARM-2083,18.642654,78.095498,Inactive
GIS-9084,FARM-2084,9.900156,78.080491,Active
GIS-9085,FARM-2085,12.282223,76.688413,Active
GIS-9086,FARM-2086,12.99297,77.579403,Active
GIS-9087,FARM-2087,13.623701,79.454345,Inactive
GIS-9088,FARM-2088,17.385463,78.497997,Monitoring
GIS-9089,FARM-2089,17.967431,79.540426,Active
GIS-9090,FARM-2090,9.893576,78.082217,Monitoring
GIS-9091,FARM-2091,9.898181,78.118627,Inactive
GIS-9092,FARM-2092,18.619028,78.081268,Inactive
GIS-9093,FARM-2093,16.498009,80.619457,Inactive
GIS-9094,FARM-2094,11.644981,78.107731,Active
GIS-9095,FARM-2095,18.681771,78.129198,Inactive
GIS-9096,FARM-2096,11.389898,77.735395,Inactive
GIS-9097,FARM-2097,17.944262,79.648265,Inactive
GIS-9098,FARM-2098,18.471637,79.096135,Monitoring
GIS-9099,FARM-2099,10.785052,78.668596,Inactive
